Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
54,4h,Hybrid,03/21/2025 17:20:46,120.8,-2.2,11.8,4707,636,4750,172.4,186.9,5.6,22.0,37.7,89.6,89.5,1.35,-0.2,1.3,2.5,0.8,22.2,18,-11,2057.2
55,4h,Hybrid,03/21/2025 17:21:07,114.1,3.6,17.5,2524,-4,2524,180.3,199.2,12.6,25.9,38.3,85.7,85.0,1.34,0.2,2.9,2.5,0.4,40.7,5,1,1581.9
56,4h,Hybrid,03/21/2025 17:21:33,125.3,-3.1,12.2,3231,-158,3235,188.5,206.8,-16.1,22.2,35.5,87.8,87.2,1.42,-0.7,1.4,0.2,-0.5,20.5,14,-2,1878.4
57,4h,Hybrid,03/21/2025 17:21:57,127.5,4.6,14.6,4007,-322,4020,193.5,216.7,8.2,30.4,42.9,88.4,89.5,1.45,0.2,3.0,3.9,0.0,22.4,-11,-5,2097.4
58,4h,Hybrid,03/21/2025 17:22:17,116.3,-3.5,8.0,4545,1234,4710,153.9,170.4,9.7,12.8,27.6,88.2,87.2,1.33,-1.8,0.1,3.1,1.0,22.3,22,-15,2066.4
59,4h,Hybrid,03/21/2025 17:22:37,127.5,2.4,15.1,3430,167,3434,199.3,217.1,14.5,30.5,42.0,88.3,89.5,1.45,-0.1,2.2,3.8,-0.3,26.8,5,-7,1898.6
60,4h,Hybrid,03/21/2025 17:23:09,109.6,-1.6,15.7,1142,-972,1500,150.3,179.0,-37.4,14.3,25.3,81.9,82.8,1.34,1.6,-0.2,-6.8,2.0,46.3,-7,-1,728.9
61,4h,Hybrid,03/21/2025 17:23:25,118.6,0.4,12.6,5006,891,5085,165.0,179.0,17.3,21.8,38.2,85.3,85.0,1.38,-0.4,2.5,4.5,0.8,22.4,13,-12,1839.0
62,4h,Hybrid,03/21/2025 17:23:47,129.7,1.3,14.2,3650,261,3659,197.0,213.3,12.8,29.2,41.4,88.0,87.2,1.46,-0.7,0.9,3.3,0.6,22.9,5,-3,1972.3
63,4h,Hybrid,03/21/2025 17:24:11,129.7,-1.0,14.3,3109,-315,3125,202.9,223.2,-15.3,28.5,39.8,88.5,89.5,1.46,0.7,0.9,-0.4,-0.3,26.7,1,-3,2176.5
64,4i,Iron,03/21/2025 17:24:54,123.0,3.8,6.7,4274,-14,4274,168.8,186.3,12.1,13.4,27.4,88.1,91.7,1.4,-0.3,0.2,0.3,1.1,22.3,-20,-17,2287.4
65,PW,Wedge,03/21/2025 17:26:18,87.2,1.3,28.8,8275,404,8285,106.6,108.2,5.1,26.8,50.3,76.9,76.1,1.13,-2.7,1.7,1.7,1.0,42.0,7,-15,2128.2
66,PW,Wedge,03/21/2025 17:26:39,91.7,2.0,29.0,7934,55,7934,114.7,116.8,4.7,30.5,51.7,77.6,78.3,1.19,-2.7,2.2,1.6,0.3,40.8,-6,-8,2092.7
67,PW,Wedge,03/21/2025 17:27:00,91.7,-2.8,24.2,8080,-565,8100,115.5,117.9,-10.1,24.6,46.8,77.1,78.3,1.19,-4.0,0.5,-5.5,0.0,37.2,-6,-17,2393.1
68,PW,Wedge,03/21/2025 17:27:18,89.5,2.0,29.2,8088,423,8099,110.0,111.9,6.8,28.7,51.2,77.7,78.3,1.15,-3.4,0.6,0.9,-0.4,41.7,-9,-4,2230.8
69,PW,Wedge,03/21/2025 17:27:40,85.0,2.6,26.9,8866,822,8904,103.8,110.8,10.3,23.8,47.9,76.8,78.3,1.11,-3.1,1.9,3.7,-0.2,41.7,-10,-18,1754.4
70,PW,Wedge,03/21/2025 17:27:55,91.7,3.3,29.5,8313,595,8334,111.3,112.7,10.6,30.0,51.6,78.9,80.5,1.15,-3.7,1.9,3.0,0.4,43.0,-3,-7,1996.9
71,PW,Wedge,03/21/2025 17:28:20,91.7,1.4,29.7,7684,-67,7684,113.0,115.3,2.6,30.4,51.8,78.0,78.3,1.17,-2.1,1.9,-0.9,0.1,42.8,-10,-5,1849.5
72,PW,Wedge,03/21/2025 17:28:49,91.7,0.2,28.2,7524,-105,7525,115.9,118.7,0.3,29.5,50.7,77.6,78.3,1.19,-2.9,2.1,-0.3,-0.2,39.3,6,-12,1952.0
1,4i,Iron,03/25/2025 01:46:02,89.5,1.1,21.0,7172,829,7220,110.8,120.0,310.9,19.2,42.0,77.8,78.3,1.14,-4.5,2.1,2.0,1.5,40.7,11,-26,1839.6
2,LW,Wedge,03/25/2025 01:46:20,91.7,2.2,29.4,7899,-41,7899,81.2,90.8,3.4,30.1,88.2,79.5,78.3,1.15,-3.6,3.2,3.1,1.2,41.6,9,-9,1453.7
3,PW,Wedge,03/25/2025 01:47:34,89.5,4.0,30.5,8095,480,8109,108.3,115.9,11.7,29.9,52.3,79.5,78.3,1.12,-3.9,2.6,5.0,1.8,43.5,8,-6,1782.8
4,Dr,Driver,03/25/2025 01:48:02,91.7,-0.6,27.9,7040,-455,7055,116.1,125.2,-5.1,28.9,50.0,78.3,78.3,1.18,-3.4,1.2,-3.1,0.9,40.4,0,-3,1969.7
5,PW,Wedge,03/25/2025 01:48:37,91.7,-0.8,28.8,6665,-889,6724,114.4,123.7,-9.3,29.0,50.6,78.1,76.1,1.16,-2.3,2.2,-3.5,1.4,41.2,10,1,1655.3
6,PW,Wedge,03/25/2025 01:48:55,76.1,22.2,15.7,6080,6520,8915,69.6,74.0,41.7,6.7,25.6,79.6,78.3,0.95,-4.8,2.5,3.8,1.6,40.6,24,-16,1855.5
7,PW,Wedge,03/25/2025 01:49:20,76.1,22.2,15.7,6080,6520,8915,115.4,74.0,6.5,6.7,50.8,79.7,80.5,1.16,-4.8,2.7,2.1,1.2,39.4,-7,-9,2114.3
8,PW,Wedge,03/25/2025 01:49:41,87.2,2.0,29.0,8014,125,8015,108.1,115.8,5.0,27.8,50.8,78.0,78.3,1.13,-3.5,1.4,1.9,-0.2,41.8,-13,-7,1735.5
9,PW,Wedge,03/25/2025 01:50:02,98.4,0.6,12.0,5037,1070,5149,120.5,134.9,12.8,11.9,29.2,79.1,78.3,1.23,-4.3,2.2,1.9,3.1,41.4,14,-32,1702.4
10,PW,Wedge,03/25/2025 01:50:18,91.7,0.5,26.6,8314,14,8314,113.3,120.6,1.2,27.3,49.7,80.4,80.5,1.13,-4.4,1.5,0.5,1.3,39.8,5,-17,1882.9
11,PW,Wedge,03/25/2025 01:50:37,96.2,1.8,11.4,5278,1715,5550,116.3,130.8,20.3,10.8,27.9,80.4,80.5,1.21,-5.9,2.3,5.1,1.8,41.2,16,-32,2050.3
